"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"PAWR",-0.125732963342073,0.0198729737752768,-0.072512102,0.0594583059306168,-0.265671247563284,0.00957589928147307,0.000874066146852156,0.0134014417506533,"Consistent",-0.154638770968452
"RANBP9",0.170202761027706,0.0581917392478574,-0.403489798,0.00632924460299752,-0.189707136204689,0.0308595831859705,0.000877364543989434,0.0134014417506533,"Mixed",-0.140998057725661
"DENR",0.172313583489727,0.111938735750752,-0.294275527,0.00564071304445876,-0.307344932934282,0.0180297389627252,0.000878553558687892,0.0134014417506533,"Mixed",-0.143102292148185
"CHN2",-0.120879200255792,0.136849048169718,-0.425207885,0.00206864987404787,-0.240774949018382,0.0400741271899168,0.000875991046175859,0.0134014417506533,"Consistent",-0.262287344758058
"BECN1",-0.0934903250485437,0.14755460009058,-0.266778744,0.0265745423234541,-0.268486590739291,0.00291334981231676,0.000881117195708517,0.0134014417506533,"Consistent",-0.209585219929278
"ARIH1",0.0624161424235146,0.151316163925572,-0.330062095,0.00662418837177888,-0.142945500864791,0.0113953506055736,0.000881005654758472,0.0134014417506533,"Mixed",-0.136863817813759
"FTSJ1",-0.128341622542774,0.00628738107697504,-0.114243202,0.0490727333660003,-0.116836320822048,0.0371133858226503,0.000882872235774238,0.013401782972472,"Consistent",-0.119807048454941
"CASK",0.0667758017049858,0.118697263768191,0.124607934445738,0.0594990579189518,-0.202672206547797,0.00162597947259216,0.000884965595421905,0.013401782972472,"Mixed",-0.00376282346569117
"SOS1",-0.0705519961269729,0.126029973477078,-0.31203319,0.000975881408507064,-0.0924417421958221,0.0934051876237492,0.000885266748046885,0.013401782972472,"Consistent",-0.158342309440932
"ACOT7",-0.125619687437898,0.353896142279962,-0.451345757,0.0064414676356861,-0.272130535773544,0.00511308651668659,0.000896114555149033,0.0135187363029394,"Consistent",-0.283031993403814
"ROCK2",-0.121997631367292,0.0251908441669715,-0.147329606,0.101744728969161,-0.215445904316794,0.00458729981287473,0.000902662780736065,0.0136017248944092,"Consistent",-0.161591047228029
"RAB5A",0.122131030812193,0.0181838221913858,-0.310364611,0.0508809816295657,-0.30403247579055,0.0127287868170727,0.000903912227518712,0.0136047693200933,"Mixed",-0.164088685326119
"PRP4K",0.199499338478158,0.0428297821406342,-0.539977,0.0168839275668877,-0.330675384374451,0.0164754233316678,0.000912735864111218,0.0136934040879406,"Mixed",-0.223717681965431
"TSHZ2",-0.128122600936663,0.0256242696038637,-0.156634482,0.00290001272609693,-0.146086914500565,0.16114325444464,0.00091663644412245,0.0137178653872986,"Consistent",-0.143614665812409
"RFPL1S",0.199229998464991,0.0936346221647467,-0.277732284,0.0118456918993576,-0.175296494725277,0.0108119137680731,0.000917763108904649,0.0137178653872986,"Mixed",-0.0845995934200952
"DLX2",-0.0909818392629727,0.0936153148148557,-0.312404157,0.00184530306601019,-0.15503710567048,0.0699424597530369,0.000923553019739942,0.0137727097283606,"Consistent",-0.186141033977818
"SCN8A",-0.0495185998087768,0.614242400311077,-0.329637212,0.0181607942712904,-0.386423793555956,0.00109651709003421,0.000933116501732458,0.0138993695424345,"Consistent",-0.255193201788244
"UCK2",-0.104844996583608,0.0621740422083591,-0.207842327,0.00325037013809077,-0.14276751467975,0.0606551530534603,0.000934774893144461,0.0139081226655824,"Consistent",-0.151818279421119
"METTL13",-0.115739909725807,0.0276836776832689,-0.179611515,0.0106253709075604,-0.124915059998294,0.0420592823137127,0.000942058810535384,0.0139684953082695,"Consistent",-0.140088828241367
"ASH1L",-0.0506530025774916,0.395872798047925,-0.251235887,0.0114856249783613,-0.140973132483424,0.00274191971321343,0.000948144166792923,0.0140350771078137,"Consistent",-0.147620674020305
"MINDY3",0.0121334806691955,0.834686227044055,-0.428814964,0.000982033936683032,-0.26323852096219,0.0152203446303228,0.000948710270279499,0.0140350771078137,"Mixed",-0.226640001430998
"PRKCB",0.220755263402559,0.264318283180348,-0.347636238,0.0211827510116939,-0.375183643938909,0.00224413202509915,0.000954374308144464,0.0140474337945241,"Mixed",-0.16735487284545
"FKBP1A",-0.143488694222548,0.345358409082325,-0.272774793,0.0250588340050675,0.290606359834682,0.00144990301819192,0.000953291524949543,0.0140474337945241,"Mixed",-0.0418857091292887
"CALM2",0.0756021504524398,0.169649556641327,-0.134673232,0.00714650253332279,-0.198646113478937,0.010472164218287,0.000962745246887602,0.0140981939253924,"Mixed",-0.0859057316754989
"KBTBD2",-0.0252738851272696,0.58375843414733,-0.400244619,0.0100416062607345,-0.42418947716873,0.00217636771541903,0.000966628466473224,0.0141232138931616,"Consistent",-0.283235993765333
"UTRN",-0.15706342749435,0.0521747720640915,-0.297146558,0.0244012504546001,-0.2079337234367,0.0100930864404472,0.000972480529934884,0.0141609300485697,"Consistent",-0.220714569643684
"MAPRE3",-0.120705095573958,0.0584112093853967,-0.497894555,0.00476160834544689,-0.240523022226752,0.0461116946163837,0.000970913685890887,0.0141609300485697,"Consistent",-0.286374224266903
"AKR1C2",-0.256789638976995,0.000868399818214096,-0.155429334,0.0392755549841016,-0.0849752451519077,0.377868979742017,0.000974897772763863,0.0141639554768317,"Consistent",-0.165731406042968
"TCF25",-0.0579101122377281,0.297700136205198,-0.198909543,0.00670204112818702,-0.205630348563425,0.00652627739104817,0.000983338341964621,0.0142075436304543,"Consistent",-0.154150001267051
"ECM2",-0.177040005667937,0.00197188932042437,0.0890175980000771,0.337957903777405,-0.315946869246055,0.0197477265223078,0.000992122770815173,0.0143026444729393,"Mixed",-0.134656425637972
"CERK",-0.111954073842607,0.127857298314533,-0.278227707,0.00376926636710109,-0.116084129110366,0.0273456510894149,0.000993287623561296,0.0143035620204409,"Consistent",-0.168755303317658
"SLC9A7",-0.127566408122846,0.0384016046705322,-0.134558913,0.0465461519981702,-0.302198888148279,0.00738290385141715,0.000994418093131148,0.0143039829586716,"Consistent",-0.188108069757042
"FLII",-0.155699494793565,0.00145473028655173,-0.132025679,0.0504535283789236,-0.0786334090991936,0.181821811771896,0.00100378158006991,0.0143276032346463,"Consistent",-0.122119527630919
"COBLL1",-0.187973217149064,0.0033917447111919,0.0467693342443289,0.110866409477632,-0.172478795387731,0.0353340901559725,0.0010001047325458,0.0143276032346463,"Mixed",-0.104560892764155
"SRPK2",0.17244605909773,0.0967137206143461,-0.3371223,0.014162694315154,-0.231314629052989,0.00973584549749895,0.00100317713751238,0.0143276032346463,"Mixed",-0.131996956651753
"CDS2",-0.0871533329323233,0.127773057856139,-0.268490087,0.00218757310443093,-0.128654700648123,0.0476036653052628,0.00100131128041117,0.0143276032346463,"Consistent",-0.161432706860149
"LARP6",-0.0867162863424795,0.288476787926424,-0.289275422,0.00712429287911911,-0.168995992855248,0.00648934690185467,0.00100326609768086,0.0143276032346463,"Consistent",-0.181662567065909
"HSPA4",-0.10980653152359,0.145351398851034,-0.20712483,0.0565801128618901,-0.291830915089807,0.00162520451823657,0.00100508131353929,0.0143304074440855,"Consistent",-0.202920758871132
"WARS2",-0.0847163170431324,0.128658576826715,-0.325611149,0.00154235929290663,-0.172158859081637,0.0682525671538052,0.00101629074145934,0.0143722256011958,"Consistent",-0.194162108374923
"UGCG",-0.113139032865802,0.21710709324566,-0.40103433,0.0129451908594477,-0.22135115949248,0.00480127275017637,0.0010131518826001,0.0143722256011958,"Consistent",-0.245174840786094
"PAK1",-0.192211878624348,0.317622097868111,-0.702075774,0.00343905683056769,-0.344285929561559,0.0124075734948333,0.00101686621968581,0.0143722256011958,"Consistent",-0.412857860728635
"FEZ2",-0.114687070178142,0.0124279626015275,-0.147960313,0.0325749701739029,0.109115244155641,0.0336663918991802,0.00102166782423886,0.0143730470171414,"Mixed",-0.0511773796741669
"SKAP2",-0.160100913665135,0.0333847496850328,-0.365262595,0.00707489820418005,-0.16663117801428,0.0576102083071144,0.00102026496216989,0.0143730470171414,"Consistent",-0.230664895559805
"CCN3",-0.133660081429116,0.0338575785880041,-0.252458385,0.019418422714865,-0.210117248131056,0.0208642223260021,0.00102718024170229,0.0143730470171414,"Consistent",-0.198745238186724
"ST8SIA4",-0.0851133575007097,0.0587085016129563,-0.100704726,0.0122371772977427,-0.136897343833811,0.0189557088781667,0.0010209624695827,0.0143730470171414,"Consistent",-0.107571809111507
"UBE3A",0.12490503704411,0.0936155156196136,-0.22480146,0.00897415392593584,-0.142739139789779,0.0163432893695384,0.00102798988982404,0.0143730470171414,"Mixed",-0.080878520915223
"SYN2",0.134681540342434,0.185548606580466,-0.623391083,0.00575843141285897,-0.334670957423881,0.0128068171327195,0.0010250659492769,0.0143730470171414,"Mixed",-0.274460166693815
"COPS8",-0.132747911721502,0.228130206423788,-0.399013037,0.0078961784841966,-0.264956039938927,0.00757778409570862,0.00102297134226387,0.0143730470171414,"Consistent",-0.265572329553476
"QPRT",0.0177695228810153,0.708470124463097,-0.103643282,0.013577567595956,-0.179321832483355,0.00143157550384925,0.0010305231797894,0.014392973744392,"Mixed",-0.0883985305341132
"GLRB",0.153955093760853,0.390504279992763,-0.687333402,0.0028615626998514,-0.215952715958919,0.0123715368765324,0.00103389516372344,0.0144090818472144,"Mixed",-0.249777008066022
"GAPDH",-0.0947675867381701,0.0926368281390432,-0.176369949,0.00337380178157832,-0.127961019650453,0.0446492103906585,0.00104202499922725,0.0145068196301852,"Consistent",-0.133032851796208
"KLF9",-0.178723519365731,0.00444686985131539,-0.291198539,0.0975703587970939,0.171353068982226,0.0323248006471011,0.00104643395612962,0.0145370381349386,"Mixed",-0.0995229964611682
"CSNK1A1",0.180646190889172,0.0125045996288678,-0.091386452,0.146688064628595,-0.196395917131918,0.00763665831185656,0.00104534519414301,0.0145370381349386,"Mixed",-0.0357120594142485
"BCL11A",-0.0345857721741947,0.576597095672246,-0.165464807,0.0256961839561794,-0.223035767194736,0.000953029726048387,0.00105237716924658,0.0145883959992996,"Consistent",-0.141028782122977
"MRPS7",-0.194064760940273,0.00777800999239119,-0.161105207,0.0437061117175238,-0.128498092902753,0.0419380491989907,0.00106086831992802,0.0145970536096876,"Consistent",-0.161222686947675
"HNMT",-0.0740602936817041,0.0747163502581785,-0.117598795,0.00159265363660937,-0.126881097623158,0.119148473710526,0.00105598812763073,0.0145970536096876,"Consistent",-0.106180062101621
"ATP5MC1",-0.076289645012519,0.242265316018708,-0.180825658,0.00394494804215548,-0.143414374895432,0.0148635156357108,0.0010576751551109,0.0145970536096876,"Consistent",-0.133509892635984
"PHTF2",0.220045299759875,0.0162407957061427,-0.100759079,0.0227436742590144,-0.196259092746399,0.038857949454319,0.00106687049658818,0.0146179239866208,"Mixed",-0.0256576239955083
"CXADR",0.0681375325702636,0.374972772720425,-0.079391689,0.0452962569922008,-0.344537692019052,0.000845902287669442,0.00106776362085861,0.0146179239866208,"Mixed",-0.118597282816263
"MREG",0.0773132104681098,0.406753458117427,-0.283633809,0.0156707202313655,-0.335296428709913,0.00225466938817961,0.00106801215361484,0.0146179239866208,"Mixed",-0.180539009080601
"CCKBR",-0.0754516390169293,0.519314815237738,-0.242526162,0.0082451399688601,-0.214723668810558,0.00335489332977094,0.0010676098183766,0.0146179239866208,"Consistent",-0.177567156609163
"NUDT21",-0.298472160107003,0.033922623603672,-0.2803928,0.0416987054052735,0.122865004929874,0.0102327851405164,0.0010744136822149,0.0146782004993676,"Mixed",-0.151999985059043
"BCL2L2",0.0203197552737855,0.755746087575784,-0.318121949,0.0116568241599685,-0.312423200889583,0.00164687378682694,0.00107650684394797,0.0146877598697901,"Mixed",-0.203408464871933
"UBE2H",-0.126021951005671,0.0387047435423025,-0.190741355,0.0725205727764595,0.14359708806651,0.00521012449102498,0.00108369733825654,0.0147535512528775,"Mixed",-0.057722072646387
"RGS5",-0.188763827551389,0.0445784306197292,-0.302760213,0.0796266529335062,-0.233111024648617,0.00412465849181491,0.00108473642670706,0.0147535512528775,"Consistent",-0.241545021733335
"GAPVD1",0.113796818839342,0.063690864831035,-0.197806578,0.0112515076366,-0.174993162797114,0.0204600807358571,0.00108604050212904,0.0147558369060189,"Mixed",-0.0863343073192574
"SLC39A8",-0.214124210177268,0.003145232116075,0.0881541923634037,0.313478911931564,-0.158469656077998,0.0152990234311357,0.0011121262340622,0.0148313908523374,"Mixed",-0.0948132246306207
"SLC8A1",-0.148018801104203,0.0481140244068354,-0.383324199,0.0430874182018132,-0.18600990216547,0.00724987250664516,0.00110876599835107,0.0148313908523374,"Consistent",-0.239117634089891
"FEM1B",0.173702392319933,0.0688041840502842,-0.179133778,0.0445719084663776,-0.208990868951791,0.00492487312045812,0.00111329633390014,0.0148313908523374,"Mixed",-0.071474084877286
"ARL1",0.1201827529298,0.0988110213322769,-0.322297887,0.00506483179577518,-0.170166007681452,0.0300310836289521,0.00110874229561019,0.0148313908523374,"Mixed",-0.124093713917217
"MCM7",-0.138354164272656,0.141121766776468,0.149325682485394,0.0547451339947914,-0.147331486386791,0.00194965005384369,0.0011107816670088,0.0148313908523374,"Mixed",-0.0454533227246841
"DIDO1",0.0618205448893576,0.173827099003457,0.115966730936615,0.0233848158005062,-0.24531873190685,0.00369414768804516,0.00110794075771159,0.0148313908523374,"Mixed",-0.0225104853602924
"CDC42",0.148235865123326,0.238581386777788,-0.592764852,0.00214432039656187,-0.219911275975209,0.0292337974598185,0.0011042060142642,0.0148313908523374,"Mixed",-0.221480087617294
"SLC33A1",-0.050788811966556,0.251683085824031,-0.210845777,0.0234825738767201,-0.215556305676606,0.00251387475488608,0.00109812639039939,0.0148313908523374,"Consistent",-0.159063631547721
"PCMT1",0.0827886137578382,0.464592028940491,-0.454366963,0.00274212036558497,-0.288430131528044,0.0116813238306575,0.00109962191961264,0.0148313908523374,"Mixed",-0.220002826923402
"INPP5A",0.0493091790731235,0.533632557465483,-0.179121723,0.002947647083585,-0.329015877094522,0.00949552582942069,0.0011029852778355,0.0148313908523374,"Mixed",-0.152942807007133
"ZNF37BP",-0.0255711849415308,0.69064880289943,-0.407899024,0.00982199105183245,-0.434785524105941,0.00221564906994157,0.00110877719598158,0.0148313908523374,"Consistent",-0.28941857768249
"ATP5F1A",-0.0170029517477452,0.828874650925051,-0.29364365,0.000840079600586861,-0.134005324247768,0.0214577589185807,0.0011033183168165,0.0148313908523374,"Consistent",-0.148217308665171
"PHLDA1",-0.119339524531062,0.0119530935343659,-0.120350425,0.0199554020610732,-0.138922453283696,0.0646638101170419,0.00113303028852591,0.0150361790178979,"Consistent",-0.126204134271586
"GLRX3",-0.110566627744049,0.017913752806426,-0.30312021,0.0050298252679083,-0.0737782060794494,0.171463692684847,0.00113457807852305,0.0150361790178979,"Consistent",-0.162488347941166
"DCN",-0.17213936612931,0.0502888320750533,0.0874476750329043,0.0318318903041255,-0.199446587097858,0.00966940792379616,0.00113637420473436,0.0150361790178979,"Mixed",-0.0947127593980879
"ACAT2",-0.153633619682461,0.0580817481182661,-0.332212975,0.00107036257404698,-0.106283112557222,0.25181123825799,0.00114716236440852,0.0150361790178979,"Consistent",-0.197376569079894
"GRSF1",-0.184692884684512,0.0820743369520799,-0.334309818,0.0108224465673745,-0.199266392672275,0.0175863031684628,0.00114509375941634,0.0150361790178979,"Consistent",-0.239423031785596
"PCBP2",-0.0727818256643218,0.122820186231054,0.26060614381606,0.0206323956672571,-0.251728772684304,0.00608351643903957,0.00113253339083731,0.0150361790178979,"Mixed",-0.0213014848441886
"TIMM17A",-0.180889058097411,0.172640695905233,-0.46683984,0.00331429420557998,-0.200947875068855,0.0272261217597878,0.00114248132758433,0.0150361790178979,"Consistent",-0.282892257722089
"CYB561",-0.0787850253719968,0.194969970774002,-0.282201499,0.00420918540317486,-0.21329259810192,0.018844324470932,0.00113552735129518,0.0150361790178979,"Consistent",-0.191426374157972
"MFF",0.103066657023206,0.214207092241098,-0.293881432,0.00404944253210715,-0.132145813284783,0.0177411563992611,0.00113087186452928,0.0150361790178979,"Mixed",-0.107653529420526
"ARFGEF1",-0.0715274355628166,0.308327145968983,-0.336124969,0.0130952423484893,-0.162947092950991,0.00385384670910107,0.00114138237440243,0.0150361790178979,"Consistent",-0.190199832504602
"PFKP",-0.0429983466267867,0.672617187208039,-0.24416428,0.0035450277163653,-0.146465818274022,0.00649593553993811,0.00113702027669958,0.0150361790178979,"Consistent",-0.144542814966936
"PIAS2",-0.104702529889694,0.178587286234933,-0.197633279,0.0149827009426149,-0.17955339748192,0.00586396724339733,0.00114934111090583,0.0150491851709232,"Consistent",-0.160629735457205
"AGK",0.127502666396534,0.0725162067013903,-0.309390417,0.00530878907377984,-0.0966711399789624,0.0408287640163513,0.0011510325939969,0.0150561554515868,"Mixed",-0.0928529635274761
"PCLO",0.286895977095859,0.037493088417389,-0.153098023,0.196149809082226,-0.398856822683254,0.00214300184153108,0.00115361427233261,0.0150595937520888,"Mixed",-0.0883529561957985
"CBFA2T2",-0.0611190179655967,0.0844680547593373,-0.100749256,0.0202061363132875,-0.14915708420904,0.00925095869773539,0.00115539250555547,0.0150676639103011,"Consistent",-0.103675119391546
"ANKH",0.144529658471562,0.209244745149439,-0.223626467,0.00750538618584002,-0.16477179864224,0.0100686379611497,0.00115680618180945,0.0150709684007251,"Mixed",-0.0812895357235594
"LEPROTL1",-0.123774281322859,0.218380179998215,-0.358150756,0.00542926975229403,-0.232027864963163,0.0134013416166227,0.00116149764739247,0.0151017947367175,"Consistent",-0.237984300762007
"SST",-0.451120813685078,0.0432796208898108,-0.643476229,0.00580071695009943,-0.366997732776571,0.0635153845273601,0.00116494491590383,0.0151163531595154,"Consistent",-0.487198258487216
"SCN1A",0.168715288752121,0.265587781793965,-0.350326674,0.0414268698595696,-0.421931074507842,0.00145884626167954,0.001171359153734,0.0151692762191934,"Mixed",-0.201180819918574
"GMFB",0.118123924395684,0.0240699873249114,-0.311850788,0.108338026046113,-0.439534593044582,0.00619729071329784,0.00117804178179895,0.0152103227671835,"Mixed",-0.211087152216299
"KCNC4",-0.157109740469899,0.028670362485246,-0.277204945,0.00944354356689655,-0.108589028912746,0.0596357578301808,0.00117717302125062,0.0152103227671835,"Consistent",-0.180967904794215
"PRKAB1",-0.0922848108547631,0.0485131676622358,-0.170519636,0.0778832449147358,-0.184064122558393,0.00428289950684632,0.00117936266064769,0.0152109910261676,"Consistent",-0.148956189804385
"SRPRA",-0.163382420797174,0.0551011217931017,-0.235484606,0.00938967615542973,-0.322528175452661,0.0313497768027489,0.00118164104975662,0.0152109910261676,"Consistent",-0.240465067416612
"CLSTN2",-0.017669448481695,0.830255516453594,-0.381505086,0.00583991885888814,-0.258423847396935,0.00334312268163572,0.00118101741440443,0.0152109910261676,"Consistent",-0.21919946062621
"PLCL2",-0.265177656459151,0.0527418778277191,-0.57315411,0.00532127776666218,-0.258645290355544,0.0583356709346814,0.00119089946110446,0.015255022781347,"Consistent",-0.365659018938232
"BEND5",-0.0402895314114247,0.618816717839775,-0.170941186,0.0551169281752795,-0.205341098250774,0.00048250066182951,0.00119603595344751,0.0153057251224923,"Consistent",-0.138857271887399
"DDX28",-0.097970881758719,0.0131874046202318,-0.188437331,0.0222082792189432,-0.111688484111777,0.0564380713317853,0.001200414647038,0.0153256810231875,"Consistent",-0.132698898956832
"ZFAND5",0.125529901757192,0.0689931735393094,-0.308925742,0.00877079322621545,-0.233415027253372,0.0276471184127762,0.00121258264410691,0.0154262840002984,"Mixed",-0.13893695583206
"RAD17",0.0811603147066027,0.190571414205333,-0.196057536,0.0159287065700899,-0.151278675880399,0.0055199358920591,0.00121416199119792,0.0154312623323579,"Mixed",-0.0887252990579322
"ITPR1",0.148543137161832,0.147361126085192,-0.360738445,0.0216966388249489,-0.177016858427761,0.00526143385136866,0.00121815104941125,0.0154517226375027,"Mixed",-0.12973738875531
"PWP1",0.112765327770014,0.0451872887467485,-0.211819271,0.0270258235561838,-0.149829533584423,0.0138196789744619,0.00122146396058354,0.0154577207204098,"Mixed",-0.0829611589381364
